Id,Time,Value
2347167796,3/29/2016 7:14:30 PM,67
2347167796,3/29/2016 7:14:40 PM,67
2347167796,3/29/2016 7:14:50 PM,66
2347167796,3/29/2016 7:15:00 PM,67
2347167796,3/29/2016 7:15:10 PM,66
2347167796,3/29/2016 7:15:20 PM,65
2347167796,3/29/2016 7:15:25 PM,65
2347167796,3/29/2016 7:15:40 PM,65
2347167796,3/29/2016 7:15:55 PM,65
2347167796,3/29/2016 7:16:10 PM,65
2347167796,3/29/2016 7:16:20 PM,64
2347167796,3/29/2016 7:16:35 PM,64
2347167796,3/29/2016 7:16:50 PM,65
2347167796,3/29/2016 7:17:05 PM,65
2347167796,3/29/2016 7:17:10 PM,64
2347167796,3/29/2016 7:17:25 PM,64
2347167796,3/29/2016 7:17:30 PM,63
2347167796,3/29/2016 7:17:35 PM,63
2347167796,3/29/2016 7:17:40 PM,64
2347167796,3/29/2016 7:17:45 PM,64
2347167796,3/29/2016 7:18:00 PM,63
2347167796,3/29/2016 7:18:15 PM,63
2347167796,3/29/2016 7:18:20 PM,64
2347167796,3/29/2016 7:18:35 PM,64
2347167796,3/29/2016 7:18:40 PM,64
2347167796,3/29/2016 7:18:45 PM,65
2347167796,3/29/2016 7:19:00 PM,65
2347167796,3/29/2016 7:19:15 PM,64
2347167796,3/29/2016 7:19:30 PM,64
2347167796,3/29/2016 7:19:40 PM,66
2347167796,3/29/2016 7:19:55 PM,66
2347167796,3/29/2016 7:20:10 PM,66
2347167796,3/29/2016 7:20:25 PM,66
2347167796,3/29/2016 7:20:30 PM,66
2347167796,3/29/2016 7:20:45 PM,66
2347167796,3/29/2016 7:20:50 PM,67
2347167796,3/29/2016 7:21:05 PM,67
2347167796,3/29/2016 7:21:20 PM,67
2347167796,3/29/2016 7:21:35 PM,67
2347167796,3/29/2016 7:21:50 PM,64
2347167796,3/29/2016 7:22:05 PM,65
2347167796,3/29/2016 7:22:20 PM,65
2347167796,3/29/2016 7:22:35 PM,65
2347167796,3/29/2016 7:22:40 PM,67
2347167796,3/29/2016 7:22:50 PM,66
2347167796,3/29/2016 7:23:00 PM,67
2347167796,3/29/2016 7:23:10 PM,67
2347167796,3/29/2016 7:23:25 PM,67
2347167796,3/29/2016 7:23:35 PM,66
2347167796,3/29/2016 7:23:50 PM,66
2347167796,3/29/2016 7:24:00 PM,65
2347167796,3/29/2016 7:24:15 PM,65
2347167796,3/29/2016 7:24:20 PM,66
2347167796,3/29/2016 7:24:30 PM,65
2347167796,3/29/2016 7:24:40 PM,67
2347167796,3/29/2016 7:24:45 PM,67
2347167796,3/29/2016 7:25:00 PM,67
2347167796,3/29/2016 7:25:15 PM,67
2347167796,3/29/2016 7:25:30 PM,67
2347167796,3/29/2016 7:25:45 PM,66
2347167796,3/29/2016 7:25:50 PM,66
2347167796,3/29/2016 7:26:00 PM,67
2347167796,3/29/2016 7:26:10 PM,67
2347167796,3/29/2016 7:26:20 PM,67
2347167796,3/29/2016 7:26:25 PM,66
2347167796,3/29/2016 7:26:30 PM,65
2347167796,3/29/2016 7:26:45 PM,65
2347167796,3/29/2016 7:26:50 PM,64
2347167796,3/29/2016 7:27:05 PM,64
2347167796,3/29/2016 7:27:10 PM,64
2347167796,3/29/2016 7:27:25 PM,64
2347167796,3/29/2016 7:27:40 PM,64
2347167796,3/29/2016 7:27:50 PM,64
2347167796,3/29/2016 7:28:05 PM,63
2347167796,3/29/2016 7:28:10 PM,62
2347167796,3/29/2016 7:28:15 PM,63
2347167796,3/29/2016 7:28:30 PM,63
2347167796,3/29/2016 7:28:45 PM,63
2347167796,3/29/2016 7:28:50 PM,65
2347167796,3/29/2016 7:29:00 PM,71
2347167796,3/29/2016 7:29:15 PM,71
2347167796,3/29/2016 7:29:25 PM,72
2347167796,3/29/2016 7:29:40 PM,72
2347167796,3/29/2016 7:29:50 PM,74
2347167796,3/29/2016 7:30:00 PM,75
2347167796,3/29/2016 7:30:05 PM,74
2347167796,3/29/2016 7:30:20 PM,74
2347167796,3/29/2016 7:30:30 PM,72
2347167796,3/29/2016 7:30:45 PM,72
2347167796,3/29/2016 7:30:55 PM,72
2347167796,3/29/2016 7:31:10 PM,72
2347167796,3/29/2016 7:31:20 PM,72
2347167796,3/29/2016 7:31:35 PM,72
2347167796,3/29/2016 7:31:40 PM,72
2347167796,3/29/2016 7:31:45 PM,71
2347167796,3/29/2016 7:32:00 PM,71
2347167796,3/29/2016 7:32:05 PM,72
2347167796,3/29/2016 7:32:10 PM,71
2347167796,3/29/2016 7:32:25 PM,71
2347167796,3/29/2016 7:32:30 PM,71
2347167796,3/29/2016 7:32:40 PM,72
2347167796,3/29/2016 7:32:55 PM,72
2347167796,3/29/2016 7:33:00 PM,71
2347167796,3/29/2016 7:33:15 PM,71
2347167796,3/29/2016 7:33:25 PM,71
2347167796,3/29/2016 7:33:30 PM,71
2347167796,3/29/2016 7:33:35 PM,71
2347167796,3/29/2016 7:33:50 PM,71
2347167796,3/29/2016 7:34:00 PM,70
2347167796,3/29/2016 7:34:10 PM,71
2347167796,3/29/2016 7:34:25 PM,71
2347167796,3/29/2016 7:34:30 PM,70
2347167796,3/29/2016 7:34:40 PM,68
2347167796,3/29/2016 7:34:50 PM,66
2347167796,3/29/2016 7:34:55 PM,66
2347167796,3/29/2016 7:35:05 PM,67
2347167796,3/29/2016 7:35:15 PM,67
2347167796,3/29/2016 7:35:30 PM,67
